name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area,lat,lng,Walk Score,Bike Score,Transit Score
3 beds 2 baths apartment,2200,"west kelowna, bc",Apartment/Condo,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,910,49.85902,-119.58413,6,23,-1
2 bedroom fully furnished condo for rent,2300,"west kelowna, bc",Apartment/Condo,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,910,49.85902,-119.58413,6,23,-1
1 bed 1 bath house,700,"west kelowna, bc",Room,1,1,in-unit laundry,heating available,street parking,Not specified,Not specified,No pets,150,49.85902,-119.58413,6,23,-1
private room for rent,1000,"west kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150,49.85902,-119.58413,6,23,-1
6 beds 6 baths house,8000,"west kelowna, bc",House,6,6,in-unit laundry,electric heating,street parking,ac available,unfurnished,No pets,5800,49.85902,-119.58413,6,23,-1
1 bed 2 baths townhouse,600,"west kelowna, bc",Townhouse,1,2,Not specified,central heating,parking available,central ac,unfurnished,No pets,1371,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,2000,"west kelowna, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200,49.85902,-119.58413,6,23,-1
private room for rent,1000,"west kelowna, bc",Room,1,1,in-unit laundry,heating available,parking available,central ac,furnished,No pets,150,49.85902,-119.58413,6,23,-1
2 beds 2 baths apartment,2500,"west kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,parking available,central ac,Not specified,dog and cat friendly,900,49.85902,-119.58413,6,23,-1
room for rent cozy in large house,740,"west kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150,49.85902,-119.58413,6,23,-1
2 beds 2 baths apartment,2500,"west kelowna, bc",Apartment/Condo,2,2,in-unit laundry,heating available,garage parking,ac available,unfurnished,No pets,880,49.85902,-119.58413,6,23,-1
2室2卫 独立宅院,2000,"west kelowna, bc",House,2,2,in-unit laundry,central heating,street parking,Not specified,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
1 bed 1 bath house,1425,"west kelowna, bc",House,1,1,laundry in building,central heating,Not specified,central ac,unfurnished,dog friendly,1200,49.85902,-119.58413,6,23,-1
1 bed 2 baths townhouse,800,"west kelowna, bc",Townhouse,1,2,Not specified,central heating,parking available,central ac,unfurnished,No pets,1371,49.85902,-119.58413,6,23,-1
3 beds 2 baths townhouse,3300,"west kelowna, bc",Townhouse,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1000,49.85902,-119.58413,6,23,-1
2 beds 2 baths flat,2000,"west kelowna, bc",Apartment/Condo,2,2,laundry in building,heating available,parking available,ac available,Not specified,No pets,700,49.85902,-119.58413,6,23,-1
2 beds 2 baths apartment,2200,"west kelowna, bc",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,1000,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,2300,"west kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
private room for rent,1100,"west kelowna, bc",Room,1,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,150,49.85902,-119.58413,6,23,-1
1 bed 1 bath house,1925,"west kelowna, bc",House,1,1,in-unit laundry,electric heating,parking available,central ac,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
2 beds 2 baths house,2800,"west kelowna, bc",House,2,2,in-unit laundry,heating available,street parking,ac available,unfurnished,dog and cat friendly,1700,49.85902,-119.58413,6,23,-1
rent  one large bedroom,1100,"west kelowna, bc",Room,1,1,in-unit laundry,central heating,parking available,central ac,furnished,No pets,150,49.85902,-119.58413,6,23,-1
1 bed 1 bath flat,2000,"west kelowna, bc",Apartment/Condo,1,1,laundry in building,central heating,parking available,central ac,Not specified,No pets,900,49.85902,-119.58413,6,23,-1
1 bed 1 bath flat,2000,"west kelowna, bc",Apartment/Condo,1,1,laundry in building,central heating,parking available,central ac,Not specified,No pets,910,49.85902,-119.58413,6,23,-1
private room for rent,1100,"west kelowna, bc",Room,1,1,in-unit laundry,heating available,parking available,central ac,furnished,No pets,150,49.85902,-119.58413,6,23,-1
3 beds 1 bath house,2000,"kelowna, bc, v1v 1r1",House,3,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200,49.91729,-119.44397,66,90,37
1 bed 1 bath house,600,"kelowna, bc, v1x 3m7",House,1,1,laundry available,heating available,parking available,Not specified,unfurnished,No pets,1200,49.89336,-119.3943,78,81,49
